Segments	Energy	Value	Error
5	21.0403	0.00392577	0.0011
5	23.4446	0.0046286	0.001
5	26.1235	0.0055551	0.001
5	29.1086	0.00681041	0.0009
5	32.4348	0.00865094	0.0008
5	36.1411	0.0114803	0.0007
5	40.2708	0.009865	0.0008
5	44.8725	0.000111635	0.0043
5	50.0	5.65948e-07	0.0897
6	0.001	0.0	0.0
6	0.00111427	1.43072e-05	0.0002
6	0.00124159	1.50713e-05	0.0002
6	0.00138347	1.58455e-05	0.0002
6	0.00154155	1.67589e-05	0.0002
6	0.0017177	1.79346e-05	0.0002
6	0.00191398	1.89904e-05	0.0002
6	0.00213269	2.00907e-05	0.0002
6	0.00237639	2.13762e-05	0.0002
6	0.00264793	2.30367e-05	0.0002
6	0.00295051	2.45148e-05	0.0002
6	0.00328766	2.60585e-05	0.0002
6	0.00366333	2.7832e-05	0.0002
6	0.00408194	3.01461e-05	0.0002
6	0.00454837	3.22e-05	0.0002
6	0.0050681	3.43577e-05	0.0002
6	0.00564723	3.68058e-05	0.0002
6	0.00629252	4.00212e-05	0.0002
6	0.00701156	4.28799e-05	0.0002
6	0.00781276	4.5895e-05	0.0002
6	0.00870551	4.92814e-05	0.0002
6	0.00970027	5.37141e-05	0.0002
6	0.0108087	5.76703e-05	0.0002
6	0.0120438	6.18743e-05	0.0002
6	0.01342	6.65398e-05	0.0002
6	0.0149535	7.27305e-05	0.0002
6	0.0166622	7.82339e-05	0.0003
6	0.0185662	8.40752e-05	0.0003
6	0.0206877	9.04568e-05	0.0003
6	0.0230516	9.89731e-05	0.0003
6	0.0256857	0.000106516	0.0003
6	0.0286207	0.000114528	0.0003
6	0.0318912	0.000123123	0.0003
6	0.0355353	0.000134632	0.0003
6	0.0395959	0.000144694	0.0003
6	0.0441204	0.000155242	0.0003
6	0.049162	0.000166433	0.0003
6	0.0547796	0.00018138	0.0003
6	0.0610392	0.000194347	0.0003
6	0.068014	0.000207882	0.0003
6	0.0757858	0.000222104	0.0003
6	0.0844457	0.000241278	0.0003
6	0.0940952	0.000257884	0.0004
6	0.104847	0.000275213	0.0004
6	0.116828	0.000292951	0.0004
6	0.130178	0.000316732	0.0004
6	0.145053	0.000337041	0.0004
6	0.161628	0.000358022	0.0004
6	0.180097	0.000378771	0.0004
6	0.200676	0.000406721	0.0005
6	0.223607	0.000429897	0.0005
6	0.249158	0.000453448	0.0005
6	0.277629	0.000475904	0.0005
6	0.309353	0.000505547	0.0005
6	0.344702	0.000529366	0.0005
6	0.38409	0.000553336	0.0006
6	0.42798	0.000575876	0.0006
6	0.476884	0.000606132	0.0006
6	0.531377	0.000630642	0.0006
6	0.592096	0.000655257	0.0007
6	0.659754	0.000677405	0.0007
6	0.735143	0.00070713	0.0007
6	0.819146	0.000731225	0.0007
6	0.912748	0.00075513	0.0008
6	1.01705	0.000776603	0.0008
6	1.13326	0.000806548	0.0008
6	1.26276	0.000831809	0.0009
6	1.40705	0.000857704	0.0009
6	1.56783	0.000880083	0.0009
6	1.74699	0.000912723	0.0009
6	1.94661	0.000942832	0.001
6	2.16905	0.000975251	0.001
6	2.4169	0.00100461	0.001
6	2.69307	0.00104583	0.0011
6	3.00081	0.001086	0.0011
6	3.3437	0.00113079	0.0011
6	3.72578	0.00117392	0.0011
6	4.15152	0.00123461	0.0012
6	4.6259	0.00129453	0.0012
6	5.1545	0.00136318	0.0012
6	5.74349	0.00143271	0.0012
6	6.39979	0.00152987	0.0013
6	7.13108	0.00163034	0.0013
6	7.94594	0.00174674	0.0013
6	8.8539	0.00186702	0.0013
6	9.86562	0.00202866	0.0013
6	10.9929	0.00220777	0.0013
6	12.2491	0.00242194	0.0012
6	13.6488	0.00266055	0.0012
6	15.2084	0.00297202	0.0012
6	16.9462	0.00333385	0.0012
6	18.8826	0.00378869	0.0011
6	21.0403	0.0043518	0.0011
6	23.4446	0.00509526	0.001
6	26.1235	0.00603053	0.0009
6	29.1086	0.00727462	0.0008
6	32.4348	0.00886084	0.0008
6	36.1411	0.00964484	0.0008
6	40.2708	0.00220863	0.0015
6	44.8725	5.78548e-06	0.0314
6	50.0	4.6408e-07	0.0955
7	0.001	0.0	0.0
7	0.00111427	1.33743e-05	0.0002
7	0.00124159	1.4089e-05	0.0002
7	0.00138347	1.48129e-05	0.0003
7	0.00154155	1.56675e-05	0.0003
7	0.0017177	1.67673e-05	0.0003
7	0.00191398	1.77554e-05	0.0003
7	0.00213269	1.87837e-05	0.0003
7	0.00237639	1.99849e-05	0.0003
7	0.00264793	2.15377e-05	0.0003
7	0.00295051	2.29198e-05	0.0003
7	0.00328766	2.43627e-05	0.0003
7	0.00366333	2.60247e-05	0.0003
7	0.00408194	2.81869e-05	0.0003
7	0.00454837	3.01108e-05	0.0003
7	0.0050681	3.21322e-05	0.0003
7	0.00564723	3.44245e-05	0.0003
7	0.00629252	3.74357e-05	0.0003
7	0.00701156	4.01134e-05	0.0003
7	0.00781276	4.29414e-05	0.0003
7	0.00870551	4.61183e-05	0.0003
7	0.00970027	5.02696e-05	0.0003
7	0.0108087	5.39787e-05	0.0003
7	0.0120438	5.79341e-05	0.0003
7	0.01342	6.22975e-05	0.0003
7	0.0149535	6.81176e-05	0.0003
