Nuclide,State,Energy,Intensity
Re181,0,699.9,3.0636e-05
Re181,0,719.9,3.0636e-05
Re181,0,730.1,1.702e-05
Re181,0,738.0,6.808e-05
Re181,0,769.7,3.5742000000000004e-05
Re181,0,773.4,1.702e-05
Re181,0,789.4,1.702e-05
Re181,0,791.6,2.7232000000000003e-05
Re181,0,803.6,0.0003404
Re181,0,805.2,0.00071484
Re181,0,817.5,3.0636e-05
Re181,0,822.7,3.7444e-05
Re181,0,826.7,3.9146e-05
Re181,0,835.7,0.000105524
Re181,0,840.4,6.4676e-05
Re181,0,848.5,3.0636e-05
Re181,0,854.4,4.255e-05
Re181,0,862.7,4.0848000000000006e-05
Re181,0,877.2,0.00010212
Re181,0,879.8,0.00011914
Re181,0,883.2,5.957e-05
Re181,0,889.5,2.7232000000000003e-05
Re181,0,891.7,2.3828e-05
Re181,0,907.4,0.00023828
Re181,0,946.9,5.106e-05
Re181,0,953.6,0.00081696
Re181,0,965.1,4.7656e-05
Re181,0,973.2,3.0636e-05
Re181,0,980.7,4.255e-05
Re181,0,989.4,0.00020424
Re181,0,993.7,1.8722e-05
Re181,0,993.7,4.9358000000000004e-05
Re181,0,1000.2,0.0007659
Re181,0,1009.4,0.0005616600000000001
Re181,0,1018.6,3.0636e-05
Re181,0,1057.1,6.808e-05
Re181,0,1068.3,3.5742000000000004e-05
Re181,0,1075.6,0.00023828
Re181,0,1086.6,0.000129352
Re181,0,1103.5,0.00015828600000000002
Re181,0,1127.3,2.7232000000000003e-05
Re181,0,1132.3,5.106e-05
Re181,0,1172.3,4.4251999999999996e-05
Re181,0,1200.8,4.5954e-05
Re181,0,1272.5,2.553e-05
Re181,0,1384.2,5.2762e-05
Re181,0,1440.7,0.00044252
Re181,0,1469.2,0.00018721999999999999
Re181,0,1498.2,1.8722e-05
Re181,0,1538.0,4.4251999999999996e-05
Re181,0,511.0,1.8400000000000002e-06
Re181,0,9.74,0.01012
Re181,0,57.983,0.00782
Re181,0,59.32,0.01357
Re181,0,67.335,0.004508000000000001
Re181,0,68.117,0.0057269999999999995
Re181,0,69.068,0.001242
Re182,0,18.05,195.6672
Re182,0,19.85,57.0696
Re182,0,31.7,407.64
Re182,0,39.1,407.64
Re182,0,42.7,733.752
Re182,0,60.65,163.056
Re182,0,65.8,4565.568
Re182,0,67.75,60672.0
Re182,0,67.85,35057.04
Re182,0,84.68,4361.7480000000005
Re182,0,84.68,4247.04
Re182,0,100.1,26007.432
Re182,0,100.12,22752.0
Re182,0,107.13,2242.02
