X	Y	Value
90	-423	0.047988
94.5	-423	0.0388032
99	-423	0.0378438
103.5	-423	0.0380952
108	-423	0.0459852
112.5	-423	0.0359814
117	-423	0.0375138
121.5	-423	0.0334842
126	-423	0.0629832
130.5	-423	0.0473694
135	-423	0.042483
139.5	-423	0.0471738
144	-423	0.0399336
148.5	-423	0.0528144
153	-423	0.0367272
157.5	-423	0.058401
162	-423	0.037899
166.5	-423	0.0376206
171	-423	0.0434994
175.5	-423	0.043725
180	-423	0.0433758
184.5	-423	0.0439158
189	-423	0.031965
193.5	-423	0.0305574
198	-423	0.0398208
202.5	-423	0.0361974
207	-423	0.0368436
211.5	-423	0.0393066
216	-423	0.0471036
220.5	-423	0.0333048
225	-423	0.027765
229.5	-423	0.0347358
234	-423	0.0292314
238.5	-423	0.0296124
243	-423	0.0347718
247.5	-423	0.0280578
252	-423	0.0241572
256.5	-423	0.0198876
261	-423	0.026877
265.5	-423	0.0175794
270	-423	0.0190206
274.5	-423	0.0198432
279	-423	0.0199878
283.5	-423	0.0147216
288	-423	0.017799
292.5	-423	0.017109
297	-423	0.0148524
306	-423	0.0076242
310.5	-423	0.0089556
315	-423	0.013545
319.5	-423	0.0083646
324	-423	0.0105798
328.5	-423	0.0068166
333	-423	0.009135
337.5	-423	0.0073332
342	-423	0.0062646
346.5	-423	0.0068964
351	-423	0.0050502
360	-423	0.0045774
364.5	-423	0.0021846
369	-423	0.0023958
378	-423	0.005055
382.5	-423	0.0047208
391.5	-423	0.0012228
396	-423	0.0009594
405	-423	0.0015126
409.5	-423	0.000933
414	-423	0.0012816
418.5	-423	0.0047988
445.5	-423	0.0006984
-441	-418.5	0.0001338
-418.5	-418.5	0.0003054
-351	-418.5	0.00099
-342	-418.5	0.0010782
-333	-418.5	0.0009768
-328.5	-418.5	0.001479
-324	-418.5	0.0013302
-319.5	-418.5	0.001206
-315	-418.5	0.0010074
-310.5	-418.5	0.000681
-306	-418.5	0.0014628
-301.5	-418.5	0.0017052
-297	-418.5	0.0021534
-292.5	-418.5	0.0012618
-288	-418.5	0.0016986
-279	-418.5	0.0031734
-274.5	-418.5	0.001353
-270	-418.5	0.0023112
-256.5	-418.5	0.0020058
-252	-418.5	0.0030594
-247.5	-418.5	0.0035886
-243	-418.5	0.0042666
-229.5	-418.5	0.0062568
-225	-418.5	0.0046674
-220.5	-418.5	0.0048426
-216	-418.5	0.007821
-207	-418.5	0.0079272
-202.5	-418.5	0.019458
-198	-418.5	0.0142092
