Cor C	Cor B	Value	Error
-216.0	-436.5	0.0128379	0.3823
-211.5	-436.5	0.0170023	0.3351
-207.0	-436.5	0.0243406	0.304
-202.5	-436.5	0.0175211	0.2171
-198.0	-436.5	0.0152303	0.1914
-193.5	-436.5	0.0186917	0.3261
-189.0	-436.5	0.0127557	0.1464
-184.5	-436.5	0.0181232	0.3207
-180.0	-436.5	0.0172702	0.3879
-175.5	-436.5	0.0128598	0.1605
-171.0	-436.5	0.00908177	0.1789
-166.5	-436.5	0.0139546	0.1539
-162.0	-436.5	0.0167541	0.3167
-157.5	-436.5	0.0144404	0.1875
-153.0	-436.5	0.0157757	0.199
-148.5	-436.5	0.0179811	0.2514
-144.0	-436.5	0.0209127	0.225
-139.5	-436.5	0.0303916	0.3775
-135.0	-436.5	0.0196546	0.2485
-130.5	-436.5	0.0239579	0.1962
-126.0	-436.5	0.0231444	0.3128
-121.5	-436.5	0.0315453	0.3576
-117.0	-436.5	0.0196955	0.1944
-112.5	-436.5	0.0243479	0.1652
-108.0	-436.5	0.0435178	0.3842
-103.5	-436.5	0.0577123	0.4723
-99.0	-436.5	0.0436045	0.2781
-94.5	-436.5	0.0326659	0.3161
-90.0	-436.5	0.0349524	0.2221
-85.5	-436.5	0.0456576	0.2845
