Parent,Nuclide,Atoms_EOB,Atoms_after_cooling,Activity_EOB_Bq,Activity_after_cooling_Bq
Zn65,"Nuclide: Cu-65, decay dataset: icrp107_ame2020_nubase2020",-299.8346778978093,-598.8190127828744,-0.0,-0.0
Zn66,"Nuclide: Zn-66, decay dataset: icrp107_ame2020_nubase2020",0.0,0.0,0.0,0.0
Zn67,"Nuclide: Zn-67, decay dataset: icrp107_ame2020_nubase2020",0.0,0.0,0.0,0.0
Zn68,"Nuclide: Zn-68, decay dataset: icrp107_ame2020_nubase2020",0.0,0.0,0.0,0.0
Zn69,"Nuclide: Zn-69, decay dataset: icrp107_ame2020_nubase2020",322489234.7081881,6.647264988113585,66055.7044323035,0.0013615641208468586
Zn69,"Nuclide: Ga-69, decay dataset: icrp107_ame2020_nubase2020",-322489234.7081881,-322489241.35545313,-0.0,-0.0
Zn70,"Nuclide: Zn-70, decay dataset: icrp107_ame2020_nubase2020",0.0,0.0,0.0,0.0
Zn71,"Nuclide: Zn-71, decay dataset: icrp107_ame2020_nubase2020",3036494164.7251563,3.5518664833416107e-168,14317941.28616305,1.67480696507048e-170
Zn71,"Nuclide: Ga-71, decay dataset: icrp107_ame2020_nubase2020",-3036494164.7251563,-3036494164.7251563,-0.0,-0.0
Zn72,"Nuclide: Zn-72, decay dataset: icrp107_ame2020_nubase2020",278662172.07957774,194853269.62718043,1153.8464689705472,806.8219502088825
Zn72,"Nuclide: Ga-72, decay dataset: icrp107_ame2020_nubase2020",121269649.05419701,122067363.15685591,1655.9833595234572,1666.8764501686685
Zn72,"Nuclide: Ge-72, decay dataset: icrp107_ame2020_nubase2020",-399931821.1337747,-716852453.9178112,-0.0,-0.0
Ga64,"Nuclide: Ga-64, decay dataset: icrp107_ame2020_nubase2020",53364902.586638585,5.206230827978311e-158,234676.6385533858,2.2894837074974217e-160
Ga64,"Nuclide: Zn-64, decay dataset: icrp107_ame2020_nubase2020",-53364902.586638585,-53364902.586638585,-0.0,-0.0
Ga65,"Nuclide: Ga-65, decay dataset: icrp107_ame2020_nubase2020",134871636.22654876,4.0859162270812484e-21,102506.46314466979,3.1054181061463776e-24
Ga65,"Nuclide: Zn-65, decay dataset: icrp107_ame2020_nubase2020",-134877469.65507612,-134494951.81323764,-4.433579715734537,-4.4210059081978255
Ga65,"Nuclide: Cu-65, decay dataset: icrp107_ame2020_nubase2020",5833.428527345662,134500785.241765,0.0,0.0
Ga66,"Nuclide: Ga-66, decay dataset: icrp107_ame2020_nubase2020",2583041.993079074,447541.45449040603,52.406869065996425,9.080087149154725
Ga66,"Nuclide: Zn-66, decay dataset: icrp107_ame2020_nubase2020",-2583041.993079074,-3030583.44756948,-0.0,-0.0
Ga67,"Nuclide: Ga-67, decay dataset: icrp107_ame2020_nubase2020",66841.439575382,54042.97932978718,0.16442963006347636,0.1329454774639213
Ga67,"Nuclide: Zn-67, decay dataset: icrp107_ame2020_nubase2020",-66841.439575382,-120884.41890516918,-0.0,-0.0
Ga68,"Nuclide: Ga-68, decay dataset: icrp107_ame2020_nubase2020",1792211.4055796457,0.7101228750706534,305.78109652560136,0.00012115878223461472
Ga68,"Nuclide: Zn-68, decay dataset: icrp107_ame2020_nubase2020",-1792211.4055796457,-1792212.1157025208,-0.0,-0.0
Ga69,"Nuclide: Ga-69, decay dataset: icrp107_ame2020_nubase2020",0.0,0.0,0.0,0.0
Ga70,"Nuclide: Ga-70, decay dataset: icrp107_ame2020_nubase2020",115657923.7244264,3.612608582316105e-13,63204.00799353781,1.974195406259121e-16
Ga70,"Nuclide: Ge-70, decay dataset: icrp107_ame2020_nubase2020",-115657923.7244264,-115657923.7244264,-0.0,-0.0
Ga71,"Nuclide: Ga-71, decay dataset: icrp107_ame2020_nubase2020",0.0,0.0,0.0,0.0
Ga72,"Nuclide: Ga-72, decay dataset: icrp107_ame2020_nubase2020",143191519.61490157,44007410.66845128,1955.3348719693286,600.9379950469004
Ga72,"Nuclide: Ge-72, decay dataset: icrp107_ame2020_nubase2020",-143191519.61490157,-187198930.28335285,-0.0,-0.0
Ga73,"Nuclide: Ga-73, decay dataset: icrp107_ame2020_nubase2020",1548958633.5520113,50521000.180389985,61365.81559502526,2001.513993718896
Ga73,"Nuclide: Ge-73, decay dataset: icrp107_ame2020_nubase2020",-1548958633.5520113,-1599479633.7324011,-0.0,-0.0
Ga74,"Nuclide: Ga-74, decay dataset: icrp107_ame2020_nubase2020",9486756184.15633,3.9128028500444223e-44,13496958.747347262,5.566806780778346e-47
Ga74,"Nuclide: Ge-74, decay dataset: icrp107_ame2020_nubase2020",-9486756184.15633,-9486756184.15633,-0.0,-0.0
