parent_nuclide,parent_original,production_rate,nuclide,original_nuclide,atom_number_after_irradiation,atom_number_after_cooling,activity_after_cooling_Bq,is_stable,decay_constant,half_life,half_life_seconds,cooling_time_hours
Cr56,Cr56,8.93e-08,Cr56,Cr56,143292240198.92023,0.0,0.0,False,0.001944857408978522,5.94 分钟,356.40000000000003,240.0
Cr56,Cr56,8.93e-08,Mn56,Mn-56,3881703092004.5,3.752215321898922e-16,2.8014070073244685e-20,False,7.466008123187162e-05,2.58 小时,9284.039999999999,240.0
Cr56,Cr56,8.93e-08,Fe56,Fe-56,,,0.0,True,0.0,稳定,inf,240.0
Mn51,Mn51,1.14e-07,Mn51,Mn51,1422759831762.3284,2.1164132868442334e-82,5.292156936059477e-86,False,0.0002500530954400957,46.20 分钟,2772.0,240.0
Mn51,Mn51,1.14e-07,Cr51,Cr-51,272257901124477.06,211989919921925.2,61391460.566890866,False,2.8959613074763664e-07,27.70 天,2393496.0,240.0
Mn51,Mn51,1.14e-07,V51,V-51,,,0.0,True,0.0,稳定,inf,240.0
Mn52,Mn52,2.84e-08,Mn52,Mn52,43888087330078.74,12703628200605.832,18228460.898906108,False,1.4349019517146133e-06,5.59 天,483062.4,240.0
Mn52,Mn52,2.84e-08,Cr52,Cr-52,,,0.0,True,0.0,稳定,inf,240.0
Mn53,Mn53,3.65e-08,Mn53,Mn53,98415971822526.22,98415971317738.97,0.5842444930979895,False,5.93648048457235e-15,3702455.18 年,116760626496000.0,240.0
Mn53,Mn53,3.65e-08,Cr53,Cr-53,,,0.0,True,0.0,稳定,inf,240.0
Mn54,Mn54,2.84e-08,Mn54,Mn54,75731688905571.31,74068398487967.75,1903807.6812709942,False,2.5703373100206342e-08,312.12 天,26967168.0,240.0
Mn54,Mn54,2.84e-08,Cr54,Cr-54,,,0.0,True,0.0,稳定,inf,240.0
Mn54,Mn54,2.84e-08,Fe54,Fe-54,,,0.0,True,0.0,稳定,inf,240.0
Mn55,Mn55,4.06e-09,Mn55,Mn55,10947091679999.998,10947091679999.998,0.0,True,0.0,稳定,inf,240.0
Mn56,Mn56,1.22e-08,Mn56,Mn56,509953235675.65265,4.92941963617834e-17,3.6803087046305794e-21,False,7.466008123187162e-05,2.58 小时,9284.039999999999,240.0
Mn56,Mn56,1.22e-08,Fe56,Fe-56,,,0.0,True,0.0,稳定,inf,240.0
Mn57,Mn57,2.03e-08,Mn57,Mn57,7805260941.304675,0.0,0.0,False,0.00811647752412114,1.42 分钟,85.4,240.0
Mn57,Mn57,2.03e-08,Fe57,Fe-57,,,0.0,True,0.0,稳定,inf,240.0
Fe52,Fe52,1.71e-07,Fe52,Fe52,22935073219382.316,42630.536723824145,0.9919179703214472,False,2.3267780482039118e-05,8.28 小时,29790.0,240.0
Fe52,Fe52,1.71e-07,Mn52m,Mn-52m,5.238609193229983e+208,1892.099968179826,1.0359429370311284,False,0.0005475096212953754,21.10 分钟,1266.0,240.0
Fe52,Fe52,1.71e-07,Cr52,Cr-52,,,0.0,True,0.0,稳定,inf,240.0
Fe52,Fe52,1.71e-07,Mn52,Mn-52,4636626975685.514,1342095060124.429,1925774.8211590843,False,1.4349019517146133e-06,5.59 天,483062.4,240.0
Fe53,Fe53,6.5e-08,Fe53,Fe53,149426521025.92313,0.0,0.0,False,0.0013575150422247264,8.51 分钟,510.59999999999997,240.0
Fe53,Fe53,6.5e-08,Mn53,Mn-53,175261319684717.2,175261318785781.0,1.0404353986722024,False,5.93648048457235e-15,3702455.18 年,116760626496000.0,240.0
Fe53,Fe53,6.5e-08,Cr53,Cr-53,,,0.0,True,0.0,稳定,inf,240.0
Fe54,Fe54,2.03e-08,Fe54,Fe54,54735458400000.0,54735458400000.0,0.0,True,0.0,稳定,inf,240.0
Fe55,Fe55,4.06e-09,Fe55,Fe55,10909226913212.545,10833846431438.832,86943.8057283283,False,8.025201970375482e-09,2.74 年,86371306.68096001,240.0
Fe55,Fe55,4.06e-09,Mn55,Mn-55,,,0.0,True,0.0,稳定,inf,240.0
Fe58,Fe58,2.44e-08,Fe58,Fe58,65790403200000.0,65790403200000.0,0.0,True,0.0,稳定,inf,240.0
Fe59,Fe59,6.09e-08,Fe59,Fe59,152055337053351.16,130120845485251.1,23461046.700050067,False,1.80301984763151e-07,44.49 天,3844368.0,240.0
Fe59,Fe59,6.09e-08,Co59,Co-59,,,0.0,True,0.0,稳定,inf,240.0
Fe60,Fe60,1.91e-07,Fe60,Fe60,514998649782830.9,514998643267156.94,7.5412891751638975,False,1.46433185286118e-14,1500995.34 年,47335389120000.0,240.0
Fe60,Fe60,1.91e-07,Co60m,Co-60m,inf,6832.719746509416,7.541289175263951,False,0.0011037023989044065,10.47 分钟,628.02,240.0
Fe60,Fe60,1.91e-07,Co60,Co-60,512302107967332.8,510461033389428.7,2127039.869206575,False,4.1668995869932835e-09,5.27 年,166346024.445504,240.0
Fe60,Fe60,1.91e-07,Ni60,Ni-60,,,0.0,True,0.0,稳定,inf,240.0
Fe61,Fe61,3.33e-07,Fe61,Fe61,537935475693.32324,0.0,0.0,False,0.0019318483293198029,5.98 分钟,358.8,240.0
Fe61,Fe61,3.33e-07,Co61,Co-61,9478138619576.652,1.550750281102105e-31,1.809592904206173e-35,False,0.00011669144453871133,1.65 小时,5940.0,240.0
Fe61,Fe61,3.33e-07,Ni61,Ni-61,,,0.0,True,0.0,稳定,inf,240.0
Fe62,Fe62,9.09e-07,Fe62,Fe62,278295583405.77783,0.0,0.0,False,0.01019334089058743,1.13 分钟,68.0,240.0
Fe62,Fe62,9.09e-07,Co62,Co-62,,0.0,0.0,False,0.007701635339554948,1.50 分钟,90.0,240.0
Fe62,Fe62,9.09e-07,Ni62,Ni-62,,,0.0,True,0.0,稳定,inf,240.0
Co55,Co55,8.57e-07,Co55,Co55,243481468840078.22,18412794614.709583,202237.06461011744,False,1.0983507329656228e-05,17.53 小时,63108.00000000001,240.0
Co55,Co55,8.57e-07,Fe55,Fe-55,2304425668444735.5,2288502567891323.5,18365695.3170508,False,8.025201970375482e-09,2.74 年,86371306.68096001,240.0
Co55,Co55,8.57e-07,Mn55,Mn-55,,,0.0,True,0.0,稳定,inf,240.0
Co56,Co56,7.47e-07,Co56,Co56,1926415173751079.0,1761049302440830.0,182935165.82471305,False,1.0387850332819375e-07,77.23 天,6672672.0,240.0
Co56,Co56,7.47e-07,Fe56,Fe-56,,,0.0,True,0.0,稳定,inf,240.0
Co57,Co57,2.15e-07,Co57,Co57,572379434351105.9,557963966209348.75,16472681.4554513,False,2.952284099520278e-08,271.74 天,23478336.0,240.0
Co57,Co57,2.15e-07,Fe57,Fe-57,,,0.0,True,0.0,稳定,inf,240.0
Co58,Co58,1.18e-07,Co58,Co58,303100522732983.8,274855433260304.56,31118230.755278133,False,1.1321672046339831e-07,70.86 天,6122304.0,240.0
Co58,Co58,1.18e-07,Fe58,Fe-58,,,0.0,True,0.0,稳定,inf,240.0
Co59,Co59,8.12e-09,Co59,Co59,21894183359999.996,21894183359999.996,0.0,True,0.0,稳定,inf,240.0
Co60,Co60,2.84e-08,Co60,Co60,76438036480726.9,76163338946672.36,317364.98560091853,False,4.1668995869932835e-09,5.27 年,166346024.445504,240.0
Co60,Co60,2.84e-08,Ni60,Ni-60,,,0.0,True,0.0,稳定,inf,240.0
Co61,Co61,7.31e-08,Co61,Co61,1954957588380.192,3.198572157893474e-32,3.732460055658925e-36,False,0.00011669144453871133,1.65 小时,5940.0,240.0
Co61,Co61,7.31e-08,Ni61,Ni-61,,,0.0,True,0.0,稳定,inf,240.0
Co62,Co62,1.91e-07,Co62,Co62,77394374534.80426,0.0,0.0,False,0.007701635339554948,1.50 分钟,90.0,240.0
Co62,Co62,1.91e-07,Ni62,Ni-62,,,0.0,True,0.0,稳定,inf,240.0
Ni56,Ni56,3.11e-06,Ni56,Ni56,5001255068306746.0,1597924950070935.2,2110191232.0683968,False,1.3205821912817126e-06,6.08 天,524880.0,240.0
Ni56,Ni56,3.11e-06,Co56,Co-56,6807820519794234.0,6223428750398302.0,646480464.1610267,False,1.0387850332819375e-07,77.23 天,6672672.0,240.0
Ni56,Ni56,3.11e-06,Fe56,Fe-56,,,0.0,True,0.0,稳定,inf,240.0
Ni57,Ni57,3.69e-06,Ni57,Ni57,2109282608283415.5,19711472600263.383,106608549.13824263,False,5.408451783395328e-06,1.48 天,128160.0,240.0
Ni57,Ni57,3.69e-06,Co57,Co-57,9857214773884908.0,9608959233920432.0,283683775.59241843,False,2.952284099520278e-08,271.74 天,23478336.0,240.0
Ni57,Ni57,3.69e-06,Fe57,Fe-57,,,0.0,True,0.0,稳定,inf,240.0
Ni58,Ni58,2.38e-06,Ni58,Ni58,6417260640000000.0,6417260640000000.0,0.0,True,0.0,稳定,inf,240.0
Ni59,Ni59,1.38e-06,Ni59,Ni59,3720932291206700.5,3720931592049453.0,809.2097008745756,False,2.1747502765265047e-13,101067.02 年,3187249534080.0,240.0
Ni59,Ni59,1.38e-06,Co59,Co-59,,,0.0,True,0.0,稳定,inf,240.0
Ni60,Ni60,4.91e-07,Ni60,Ni60,1323897048000000.2,1323897048000000.2,0.0,True,0.0,稳定,inf,240.0
Ni61,Ni61,2.31e-07,Ni61,Ni61,622851768000000.0,622851768000000.0,0.0,True,0.0,稳定,inf,240.0
Ni62,Ni62,7.71e-08,Ni62,Ni62,207886888800000.0,207886888800000.0,0.0,True,0.0,稳定,inf,240.0
Ni63,Ni63,7.71e-08,Ni63,Ni63,207867183634189.94,207827778283435.97,45603.72162584509,False,2.1943034758159538e-10,100.17 年,3158848300.608,240.0
Ni63,Ni63,7.71e-08,Cu63,Cu-63,,,0.0,True,0.0,稳定,inf,240.0
Ni64,Ni64,3.37e-07,Ni64,Ni64,908662536000000.0,908662536000000.0,0.0,True,0.0,稳定,inf,240.0
Ni65,Ni65,8.16e-07,Ni65,Ni65,33292175505418.926,6.6193340303639245e-16,5.0631554325030575e-20,False,7.649040536823748e-05,2.52 小时,9061.884,240.0
Ni65,Ni65,8.16e-07,Cu65,Cu-65,,,0.0,True,0.0,稳定,inf,240.0
Ni66,Ni66,2.8e-06,Ni66,Ni66,2360189145024984.0,112134186436255.83,395428852.119831,False,3.526389807488529e-06,2.27 天,196560.0,240.0
Ni66,Ni66,2.8e-06,Cu66,Cu-66,inf,175526780118.38705,396047827.9681818,False,0.0022563384783852386,5.12 分钟,307.2,240.0
